1;250;
1001;178875;
2001;344833;
3001;476666;
4001;632666;
5001;714584;
6001;761541;
7001;894500;
8001;990167;
9001;995667;
10001;1062208;
11001;1181750;
12001;1114250;
13001;1229333;
14001;822208;
15001;1384625;
16001;1329458;
17001;1399875;
18001;1494708;
19001;1401167;
20001;1487292;
21001;1479666;
22001;1466958;
23001;1517625;
24001;1587459;
25001;1508125;
26001;1562708;
27001;1626833;
28001;1702792;
29001;1601000;
30001;1672000;
31001;1691667;
32001;1749125;
33001;1748125;
34001;1793625;
35001;1812833;
36001;1865334;
37001;1937667;
38001;2025917;
39001;2077417;
40001;2102958;
41001;2172458;
42001;2137541;
43001;2280292;
44001;2211292;
45001;2281833;
46001;2325125;
47001;2386375;
48001;2439125;
49001;2504833;
50001;2536458;
51001;2590542;
52001;2653416;
53001;2666750;
54001;2710750;
55001;2779917;
56001;2774500;
57001;2872125;
58001;2946583;
59001;2958625;
60001;3052875;
61001;3072541;
62001;3198625;
63001;3197750;
64001;3274208;
65001;3242166;
66001;3311292;
67001;3446750;
68001;3462500;
69001;3517791;
70001;3592333;
71001;3594250;
72001;3635375;
73001;3720500;
74001;3747458;
75001;3740250;
76001;3891583;
77001;3830917;
78001;3874708;
79001;3971917;
80001;4014583;
81001;4074375;
82001;4136458;
83001;4200625;
84001;4227959;
85001;4245291;
86001;4349333;
87001;4431625;
88001;4456250;
89001;4423750;
90001;4559834;
91001;4628708;
92001;4641459;
93001;4761083;
94001;4859833;
95001;4764000;
96001;4780125;
97001;4924875;
98001;4928833;
99001;4952750;
100001;4939417;
101001;5033208;
102001;5030208;
103001;5157666;
104001;5230417;
105001;5438542;
106001;5351750;
107001;5448709;
108001;5465292;
109001;5538958;
110001;5550458;
111001;5537458;
112001;5675875;
113001;5690125;
114001;5646417;
115001;5890125;
116001;5788208;
117001;5843542;
118001;5949542;
119001;5988750;
120001;6083458;
121001;6007542;
122001;6281083;
123001;6081166;
124001;6366584;
125001;6221834;
126001;6255291;
127001;6409250;
128001;6353167;
129001;6506500;
130001;6335834;
131001;6657250;
132001;6525958;
133001;6613667;
134001;6626417;
135001;6593333;
136001;6656542;
137001;7059375;
138001;6880166;
139001;6984791;
140001;6909167;
141001;7025250;
142001;7179000;
143001;7217792;
144001;7194583;
145001;7215667;
146001;7300959;
147001;7394542;
148001;7387333;
149001;7410542;
150001;7602875;
151001;7500958;
152001;7543417;
153001;7538875;
154001;7739583;
155001;7621792;
156001;7670250;
157001;7807250;
158001;7909792;
159001;7923709;
160001;7837667;
161001;8014542;
162001;8325625;
163001;8125042;
164001;8139208;
165001;8151833;
166001;8355959;
167001;8358417;
168001;8429417;
169001;8483958;
170001;8434583;
171001;8411625;
172001;8681542;
173001;8421750;
174001;8685625;
175001;8613083;
176001;8841917;
177001;8782209;
178001;8729208;
179001;8780667;
180001;9117416;
181001;9031000;
182001;9162041;
183001;9086125;
184001;9199125;
185001;9330125;
186001;9362333;
187001;9439375;
188001;9377208;
189001;9430125;
190001;9442458;
191001;9465167;
192001;9562958;
193001;9722125;
194001;9730792;
195001;9722583;
196001;9731541;
197001;9684625;
198001;9844166;
199001;9898583;
200001;9879959;
201001;10097541;
202001;10004083;
203001;10223292;
204001;10337834;
205001;10121000;
206001;10284916;
207001;10110875;
208001;10455667;
209001;10359542;
210001;10617958;
211001;10655417;
212001;10551708;
213001;10407917;
214001;10646875;
215001;10504208;
216001;10782083;
217001;10806250;
218001;10864916;
219001;10805666;
220001;10963417;
221001;11119042;
222001;11186708;
223001;11156292;
224001;11233583;
225001;11523833;
226001;11269083;
227001;11533083;
228001;11494250;
229001;11656375;
230001;11498667;
231001;11449291;
232001;11679500;
233001;11720333;
234001;11690792;
235001;11883750;
236001;11467042;
237001;11682500;
238001;11744667;
239001;11810459;
240001;11758791;
241001;11744500;
242001;12037416;
243001;12140375;
244001;11917625;
245001;12140708;
246001;12004375;
247001;12032833;
248001;12439333;
249001;12499625;
250001;12310042;
251001;12744250;
252001;12455250;
253001;12415916;
254001;12518083;
255001;12666958;
256001;12615125;
257001;12810042;
258001;12941666;
259001;12760792;
260001;12753166;
261001;13179500;
262001;12727542;
263001;13268125;
264001;13145750;
265001;13509542;
266001;13448167;
267001;13230375;
268001;13313167;
269001;13189959;
270001;13149750;
271001;13217458;
272001;13698458;
273001;13661167;
274001;13287916;
275001;13486250;
276001;14209333;
277001;13750541;
278001;14011917;
279001;14118750;
280001;13830416;
281001;14511375;
282001;13833625;
283001;14124084;
284001;14087250;
285001;14326292;
286001;14309542;
287001;14399042;
288001;14342791;
289001;14347333;
290001;14330500;
291001;14286333;
292001;14750417;
293001;14461042;
294001;14245125;
295001;14511375;
296001;14642000;
297001;14993041;
298001;14970375;
299001;14869834;
300001;14770042;
301001;14952167;
302001;15157375;
303001;15276583;
304001;15443167;
305001;15175875;
306001;15296333;
307001;15317750;
308001;15139333;
309001;15509250;
310001;15751584;
311001;15887250;
312001;15564792;
313001;15888291;
314001;15447250;
315001;15650167;
316001;15568208;
317001;15486917;
318001;15838125;
319001;15944458;
320001;15457917;
321001;15892375;
322001;16237125;
323001;16387000;
324001;16509916;
325001;16024542;
326001;16187959;
327001;16320208;
328001;16304750;
329001;16342959;
330001;16562583;
331001;16536375;
332001;16339750;
333001;16579375;
334001;16460959;
335001;16773292;
336001;16920708;
337001;16616792;
338001;16635792;
339001;16604000;
340001;17089250;
341001;17024083;
342001;16893458;
343001;16525083;
344001;17296792;
345001;17153792;
346001;17313167;
347001;17787500;
348001;17265334;
349001;16945375;
350001;17236792;
