2;42
3;27
4;21
5;28
6;33
7;27
8;29
9;36
10;50
11;49
12;49
13;55
14;52
15;54
16;51
17;60
18;71
19;71
20;76
21;85
22;89
23;173
24;101
25;93
26;95
27;89
28;170
29;100
30;97
31;85
32;92
33;100
34;93
35;98
36;100
37;103
38;108
39;117
40;121
41;125
42;123
43;131
44;121
45;122
46;119
47;864
48;113
49;112
50;125
51;114
52;300
53;216
54;136
55;151
56;127
57;128
58;131
59;128
60;132
61;143
62;138
63;673
64;131
65;126
66;130
67;134
68;129
69;130
70;135
71;153
72;315
73;144
74;147
75;144
76;214
77;151
78;1801
79;146
80;130
81;149
82;135
83;736
84;139
85;141
86;1053
87;824
88;151
89;135
90;410
91;304
92;145
93;1806
94;146
95;3350
96;127
97;2716
98;270
99;771
100;134
101;4792
102;132
103;1925
104;1422
105;1473
106;1835
107;120
108;1393
109;2307
110;4782
111;127
112;139
113;322
114;747
115;929
116;131
117;368
118;125
119;729
120;245
121;306
122;272
123;672
124;652
125;977
126;1257
127;383
128;216
129;145
130;189
131;403
132;218
133;150
134;277
135;198
136;1332
137;826
138;826
139;150
140;151
141;247
142;153
143;156
144;587
145;795
146;178
147;431
148;255
149;1277
150;402
151;176
152;178
153;181
154;175
155;188
156;177
157;172
158;195
159;815
160;171
161;253
162;178
163;176
164;176
165;179
166;197
167;340
168;184
169;188
170;200
171;203
172;203
173;191
174;184
175;208
176;744
177;201
178;196
179;193
180;217
181;228
182;210
183;213
184;582
185;232
186;273
187;666
188;207
189;211
190;225
191;1223
192;903
193;871
194;1426
195;1218
196;607
197;3384
198;3751
199;2706
200;1591
201;231
202;1768
203;5990
204;10511
205;231
206;1029
207;1458
208;333
209;242
210;754
211;537
212;2588
213;365
214;922
215;226
216;449
217;409
218;344
219;611
220;305
221;235
222;289
223;324
224;344
225;788
226;253
227;270
228;244
229;243
230;266
231;854
232;268
233;256
234;322
235;248
236;281
237;799
238;277
239;285
240;293
241;292
242;280
243;797
244;278
245;264
246;299
247;4065
248;1152
249;1955
250;298
251;5770
252;1792
253;351
254;299
255;275
256;370
257;511
258;1577
259;444
260;269
261;723
262;293
263;639
264;315
265;279
266;685
267;325
268;363
269;290
270;291
271;678
272;287
273;429
274;410
275;335
276;703
277;288
278;295
279;317
280;320
281;307
282;337
283;339
284;338
285;8450
286;4075
287;5070
288;452
289;331
290;351
291;324
292;592
293;1085
294;357
295;6575
296;341
297;10014
298;7039
299;562
300;344
301;325
302;362
303;553
304;935
305;484
306;499
307;715
308;966
309;345
310;635
311;658
312;374
313;379
314;517
315;1058
316;422
317;371
318;358
319;660
320;361
321;1306
322;574
323;479
324;406
325;390
326;376
327;736
328;389
329;371
330;378
331;965
332;393
333;4005
334;396
335;392
336;1829
337;3226
338;410
339;810
340;933
341;440
342;382
343;487
344;386
345;1650
346;585
347;616
348;704
349;399
350;2445
351;403
352;371
353;583
354;431
355;395
356;381
357;791
358;384
359;396
360;5598
361;419
362;431
363;430
364;425
365;427
366;2184
367;432
368;406
369;713
370;431
371;431
372;12919
373;5542
374;428
375;446
376;449
377;712
378;397
379;452
380;544
381;1798
382;470
383;397
384;976
385;515
386;572
387;446
388;447
389;566
390;461
391;1242
392;482
393;466
394;465
395;855
396;432
397;479
398;6702
399;415
400;13015
401;13903
402;505
403;496
404;541
405;2103
406;581
407;457
408;526
409;485
410;481
411;933
412;504
413;498
414;444
415;545
416;457
417;484
418;1001
419;513
420;508
421;557
422;976
423;441
424;6683
425;6961
426;3121
427;463
428;464
429;622
430;2123
431;510
432;660
433;736
434;830
435;520
436;502
437;843
438;486
439;638
440;911
441;448
442;1826
443;1996
444;976
445;1365
446;648
447;1642
448;816
449;1261
450;1372
451;806
452;999
453;515
454;1519
455;11273
456;2249
457;1520
458;936
459;4332
460;1998
461;991
462;710
463;929
464;632
465;2844
466;725
467;2452
468;639
469;552
470;564
471;502
472;1064
473;1319
474;562
475;556
476;975
477;799
478;552
479;2526
480;1451
481;694
482;2331
483;984
484;955
485;1577
486;615
487;1696
488;909
489;689
490;906
491;603
492;570
493;3148
494;1266
495;22310
496;781
497;1017
498;1330
499;755
500;1267
501;519
502;602
503;1479
504;585
505;592
506;813
507;769
508;601
509;686
510;610
511;3735
512;13057
513;625
514;540
515;581
516;2330
517;1470
518;837
519;628
520;790
521;649
522;1286
523;611
524;712
525;989
526;609
527;635
528;1188
529;631
530;1943
531;669
532;1789
533;627
534;1214
535;1317
536;681
537;2305
538;1676
539;2218
540;624
541;1706
542;644
543;2398
544;9112
545;1763
546;2655
547;1600
548;1075
549;637
550;627
551;784
552;1369
553;999
554;1810
555;842
556;598
557;761
558;576
559;1385
560;647
561;649
562;970
563;1051
564;2817
565;670
566;3429
567;6351
568;2809
569;3327
570;676
571;871
572;1320
573;3945
574;2463
575;675
576;1034
577;814
578;657
579;1277
580;668
581;1174
582;725
583;678
584;693
585;720
586;9701
587;1309
588;710
589;6444
590;10964
591;697
592;699
593;2546
594;1213
595;1294
596;734
597;719
598;689
599;1270
600;726
601;863
602;910
603;673
604;1205
605;708
606;640
607;2596
608;2125
609;1201
610;4003
611;5672
612;3233
613;1032
614;916
615;628
616;1183
617;1104
618;954
619;643
620;746
621;653
622;1702
623;4036
624;2757
625;2424
626;2082
627;656
628;4008
629;968
630;733
631;656
632;2476
633;5325
634;1719
635;3284
