5;118000;
6;254000;
7;626000;
8;1158000;
9;2175000;
10;3505000;
11;7671000;
12;14200000;
13;24080000;
14;40931000;
15;82491000;
16;171303000;
17;352678000;
18;730995000;
19;1511991000;
20;3114500000;
21;6404746000;
22;13082350000;
23;26773392000;
24;54819238000;
